"","10","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"random",0.0265746610649085,-0.00628460667986128,-0.0468444894058513,0.0214439653503706,0.00943524408212478,0.00908559850923682,0.00761565705203849,0.0130659289679965,-0.091476545122744,-0.0393347984720182,0.00744508759549066,-0.00615570605334732,0.0280704259308939,-0.019250914089629,0.0158314078030884,0.0697982495550985,0.0087525714061838,-0.101595123471221,-0.023942978155139,-0.0856629149899345
"Embeddings",0.405276443974771,0.384235991664779,0.407228636080238,0.403434348232147,0.449798036312731,0.479483541860101,0.285045286171024,0.307456568084275,0.389459512639647,0.311848398147388,0.344702809704322,0.422554149845085,0.462074086150766,0.347100743832624,0.363081384779086,0.402655773116528,0.3588442610554,0.368870111942868,0.396038099615706,0.360263390162651
"Interestingness",0.218644995518617,0.255493803612049,0.203293055465651,0.290913351264878,0.289851340862676,0.293319021918707,0.200863569238448,0.309810795326224,0.181718364085733,0.20707241160456,0.227852066412477,0.331839021493457,0.339458387464072,0.213114289528469,0.195556486586681,0.224448018572003,0.253925311896728,0.278153491537395,0.194425647977955,0.218066757353924
"Sentiment Score",0.697632334871608,0.71639944110763,0.71013266456527,0.677331563259038,0.721582984989001,0.732248167315602,0.668485658059374,0.683006292014572,0.730568762605164,0.676611796513419,0.687768014678613,0.708328909292137,0.695687954641015,0.681037837346716,0.678170012737761,0.690523218550226,0.738328098515676,0.70536186046819,0.715962027299241,0.710691784168435
"Maximum",0.166929333983791,0.112183910504559,0.189104309811745,0.192762210242414,0.225558745060287,0.125450018801192,0.152885065366836,0.122926975560425,0.213473198519939,0.204912802015514,0.137289103917469,0.137961390241792,0.104952825250303,0.172267340085754,0.225692532937877,0.178558964065928,0.123647935572076,0.231855991928047,0.188112554790136,0.214414827094709
"Minimum",0.311383827550933,0.348156127141375,0.339490637839118,0.418291143985536,0.421367045886459,0.347642467637721,0.26756178530558,0.40950058435972,0.283520293635036,0.321366284994953,0.285180641811739,0.350028789670191,0.451548679053395,0.319280617448846,0.277510684937664,0.346219502679876,0.351744324344035,0.368783455234896,0.399192587206317,0.335247877086997
"End Value",0.555594892004395,0.603422637221373,0.550511671247184,0.601825108971124,0.625522336577428,0.603224000804554,0.568264191097574,0.59533981237393,0.617623362962099,0.555643648239868,0.595900162228558,0.577420233716358,0.562794348205566,0.585506252517493,0.594971269747286,0.529246765012023,0.61377706243917,0.627610934493144,0.561001727048818,0.622132892880366
"Number of
Peaks",0.153645088443429,0.242181630965588,0.226596999943987,0.183589372390867,0.237592987309956,0.171030387907454,0.181449059784241,0.28459523412018,0.178399642131878,0.214332652834935,0.209348730907097,0.188910644050079,0.226325405186504,0.232555311496593,0.131575983568669,0.205196238184632,0.270433035153642,0.249008047034809,0.161190340203019,0.19920877600119
"Number of
Valleys",0.067353764439059,0.0262284399124994,0.0210821579666469,0.0136988629491007,0.0588311858926112,0.0381717718827948,0.0405647444973837,0.0514074627403752,0.085304552927056,0.0777411406828922,0.0944859163672257,-0.00380390157283563,0.0445761430730148,0.0326286654124903,0.100723303739289,0.0326132300376782,0.0355021501514195,0.0216010828795049,0.0279003690402961,0.0687091287589625
"Number of
Extrema",0.0494572836211362,0.134536804092409,0.125418577833508,0.104864305373921,0.11198878572563,0.0802102313223338,0.0947999540538339,0.149477771864022,0.056882481800016,0.08930531486017,0.0746834724601756,0.122376248716239,0.113331916535189,0.126611186970578,0.0144390122032791,0.108981885980982,0.149310250796839,0.13870328853543,0.0815728516082731,0.0799687660757005
"Integral",0.322457487456651,0.261624476601175,0.299133179913063,0.392737165097388,0.394657079453169,0.264316457602036,0.245699291911276,0.228962737464073,0.221155652579579,0.289596285652814,0.290195926422898,0.320469904922313,0.283095536831686,0.256125792043969,0.33743868453104,0.334447526061577,0.211038189146603,0.317898848058572,0.321390272770361,0.272970699291598
"1st Derivative",0.443034254796445,0.469093053768181,0.429309443565876,0.44485283433243,0.446569443666569,0.516790349701277,0.486896326820182,0.442422190306176,0.498365004676929,0.416831010951134,0.46324219314516,0.469764497016098,0.404287825619384,0.45959425420541,0.482513696614101,0.391725110114753,0.499057922681626,0.471595985350248,0.463215118000379,0.486047687546327
"1st Derivative
Prime",0.388023832297599,0.414805902981177,0.380914365107281,0.399750222159696,0.398098317666258,0.470850519347631,0.424806151892796,0.383715628836131,0.428861891157619,0.347688188467658,0.394154003066445,0.431129578081609,0.346698420739668,0.408714660353429,0.429578553676844,0.354656892694931,0.438123875838208,0.42123500932682,0.390935300588839,0.423562632622652
"1st Derivative
Ascending",0.432398463920305,0.477464052577583,0.422631949614954,0.428394430822036,0.450507503723734,0.496075616778641,0.46769923482026,0.47659030904694,0.521243244827759,0.427342634039491,0.469940647795714,0.448428642746798,0.425146270481658,0.466114237380421,0.467537045487535,0.381956388684429,0.519303723058204,0.475294863349833,0.44133173273568,0.496499351690438
"1st Derivative
Descending",0.321106431672251,0.325404431706592,0.315593215089478,0.337871798212057,0.309301888951848,0.385378334495476,0.351814142122713,0.270372926729898,0.333815975794351,0.27265448337522,0.323279235860551,0.363506517451955,0.251144577872708,0.321672483392457,0.359321401037065,0.281251888729723,0.328506020369871,0.336530938448453,0.345043255146609,0.320817471778915
"1st Derivative
End",0.42042992560297,0.455712958107276,0.402877124663102,0.41430169750368,0.438158565112754,0.486946927630715,0.45461553041838,0.443483325208077,0.494078324840647,0.392876760863243,0.438997481814615,0.444947085461181,0.398151781251105,0.451926943117948,0.445382469869691,0.374268783747506,0.490133974396352,0.455912538611772,0.421650724531556,0.473093173334341
"2nd Derivative",-0.0460888570404271,0.0289507576332221,0.0357236598881067,0.00467986469093893,0.00486113406733029,0.0540580136951063,0.000743101138838042,0.105481876407069,0.0796035777441901,-0.00664186213848782,-0.0322395323052642,-0.0174989754152786,0.065665029099966,0.054350549494495,-0.0192350386568576,0.0032787168642845,0.0806655114096754,0.0580769264145612,-0.0162033976264759,0.0881779658183713
"2nd Derivative
Prime",0.105264660214763,0.0252060452175212,0.0315324897986649,0.0547422721475578,0.0822513574306399,0.0124303761887,0.0512991865146209,-0.042427381296932,0.0107153198265464,0.0264469114641257,0.0691271184214768,0.0734148963890994,-0.00239501189729975,0.0102907347916282,0.0689143833354536,0.0431203962204182,0.00161221176735386,0.028208635394857,0.0561668811904963,0.00762605025469774
"2nd Derivative
Ascending",0.126473944324053,0.0382724807474696,0.0793365128953499,0.0719020005261529,0.127616176563521,0.0299027397428061,0.0279850540983566,0.0333679449510068,0.0396396270697839,0.0336242051860857,0.096697183176332,0.0524206408706162,0.0561961012561726,0.0536925120660697,0.107839208708571,0.0845941104023035,0.0304332621461212,0.0611455091230236,0.0306964029285718,0.0334230123852706
"2nd Derivative
Descending",0.0341943350960274,0.0640834971880713,0.10004949970366,0.054888168941747,0.0954412337807468,0.0880828684759523,0.0197566962620657,0.15091835481355,0.120910463445696,0.0150052416878966,0.0226225240866516,0.0172927127572658,0.119770548615385,0.10457592448401,0.0494198764687884,0.0664262319957884,0.118707972803892,0.119099314549928,0.00081019495666039,0.131437569825891
"2nd Derivative
End",0.10258791349269,0.0130740494197388,0.0149551860953124,0.0364937020814782,0.0947965332892009,-0.0153749320374113,0.0302515087826931,-0.0356566765074886,-0.00391438263082275,0.0408663785461673,0.0788301486506524,0.0409245575696809,-0.00126751426116121,-0.00843521921732956,0.0941613937343423,0.0400437321040084,-0.0124668877867833,0.00591418060078413,0.0323408477559085,-0.00477689752711869
